"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
7,"log_TRIG","KLHDC10",0.635921549269648,0.329994897035167,0.470846906283592,0.639997178782807,0.629998814296487
13,"log_TRIG","SERPINE3",0.651002702405736,0.559487510280361,0.715446208920855,0.640023032370138,0.573220626894166
1,"log_TRIG","C1orf168",0.64684294990073,0.38348751558078,0.523235864981791,0.640224005821246,0.479267244507611
11,"log_TRIG","ZNF705E",0.61212823308859,0.573041831601924,0.71015075861601,0.64027163263061,0.840061556773465
2,"log_TRIG","EPB41L5",0.64566470987561,0.670860851638083,0.783950540923128,0.640316129445644,0.85056776584551
9,"log_TRIG","ZDHHC12",0.630311389116737,0.4529993366524,0.586570827273425,0.640330358206062,0.58783311879341
18,"log_TRIG","DSEL",0.679715719258849,0.531522982361503,0.724745426615111,0.640408658975081,0.162746242784832
17,"log_TRIG","RNF112",0.647197324388296,0.516912851078983,0.696631800374553,0.640506659500527,0.532454801197762
4,"log_TRIG","FREM3",0.638577606483743,0.529758026248078,0.738284462702739,0.640737000753489,0.667242932989016
11,"log_TRIG","IFITM10",0.571333470016027,0.569067542037424,0.675144888779239,0.640888837224298,0.735455843139112
1,"log_TRIG","PPP1R15B",0.633429705681906,0.948850648866447,0.799580544685303,0.640930998889808,0.62590243760914
6,"log_TRIG","DDX43",0.550205583420628,0.437557798527581,0.553890248564833,0.641108289256162,0.74397253037286
16,"log_TRIG","IRX3",0.596019487001997,0.894631690899939,0.689041984149693,0.641115948032325,0.707072693526463
13,"log_TRIG","PIBF1",0.689503647157842,0.913028715800073,0.848691207948902,0.641138052779576,0.258039421463051
4,"log_TRIG","AASDH",0.660821541173393,0.977141670215128,0.829580537261002,0.641247614787186,0.64334298963773
3,"log_TRIG","SLCO2A1",0.654426586052268,0.945611694518553,0.809466214819958,0.641305457949656,0.638497444888228
19,"log_TRIG","CCER2",0.641818340478274,0.406213287268014,0.563077053775761,0.641305792759329,0.547355383378483
5,"log_TRIG","IL31RA",0.656620130440066,0.809173900505218,0.83664357442823,0.641336036949952,0.301696958450809
7,"log_TRIG","BRAT1",0.64279243227804,0.346062559055275,0.524573012861515,0.641680487599509,0.59372174244236
8,"log_TRIG","VCPIP1",0.64321148820055,0.388028478751331,0.512741937972363,0.641777180423807,0.504494135896747
6,"log_TRIG","GTF2H4",0.648841222845582,0.637137623722757,0.787699746402364,0.641990812430055,0.507045001079612
3,"log_TRIG","TM4SF19",0.668244568334234,0.517713754871865,0.684514879140328,0.642107842772734,0.171186979533232
12,"log_TRIG","RPAP3",0.616037318361165,0.303776944468458,0.443191035163214,0.642731368779451,0.861063030149106
