"chr","phenotype","gene","SKAT","BT","SKAT.O","SKAT.d","BT.d"
22,"log_HDL","C22orf31",0.927912028339511,0.900038770525469,1,0.948845216759903,0.484302829288466
14,"log_HDL","PPP2R5C",0.956206409335256,0.727721782990793,0.849273790143131,0.948997057989477,0.471485500310888
9,"log_HDL","MRPS2",0.903057866456138,0.914669431032935,1,0.949072279594204,0.269478129104276
14,"log_HDL","PAPLN",0.945034603081087,0.450153132864761,0.66252092760743,0.949080770758123,0.451842421637132
3,"log_HDL","NUDT16",0.926798025695935,0.778593033155211,1,0.949392647520683,0.657766553763575
19,"log_HDL","APOC4",0.944782283633805,0.762186033725617,0.878408627841532,0.949737879807918,0.574828564349742
7,"log_HDL","TAS2R3",0.926722072515445,0.824166634192716,1,0.949751767370184,0.547532130022301
1,"log_HDL","C1orf27",0.959095229518223,0.936147357505692,1,0.94984256553692,0.432335770212725
1,"log_HDL","CATSPER4",0.933513226695296,0.469904134962891,0.635737150772855,0.949910231823946,0.327250196532681
15,"log_HDL","SCAPER",0.9374404652024,0.326909016332322,0.500095552742061,0.950388527541549,0.86283678878131
16,"log_HDL","ZFHX3",0.944254339932572,0.707471800892974,0.894517057491166,0.950733637003024,0.223928174026119
15,"log_HDL","DUOX1",0.941768180167288,0.594090325031565,0.781439040754064,0.950789042282596,0.232065016516567
17,"log_HDL","CNTROB",0.941193157172243,0.749550566155412,0.898636587817396,0.950792668955185,0.802670052923074
2,"log_HDL","CDK15",0.946672070295206,0.784249328651724,1,0.951027714960587,0.686954862030139
2,"log_HDL","TMEM247",0.936324789573142,0.727698611525112,0.879723456423897,0.951081583090587,0.282243540458244
19,"log_HDL","GATAD2A",0.943135658894159,0.545309399801998,0.698849317123986,0.951345336851357,0.680170250121183
3,"log_HDL","ITIH1",0.943232043875155,0.392412706001351,0.573230103671267,0.951477759213514,0.501880949589642
2,"log_HDL","LONRF2",0.865147333133592,0.659338676464003,0.789549448347951,0.951496196069785,0.475218423522225
5,"log_HDL","LMNB1",0.959487705633502,0.723368799174989,0.845959238856656,0.951633526649013,0.36024053542645
18,"log_HDL","OSBPL1A",0.940633009738538,0.477440963975134,0.663554652682244,0.951801692091569,0.530083196626849
9,"log_HDL","RIC1",0.938720584670075,0.501007419559827,0.705258700476615,0.951824246121916,0.37374395204859
16,"log_HDL","WDR90",0.952501979657758,0.803475171812543,1,0.952171172611601,0.332145349616555
11,"log_HDL","OR6M1",0.940368673856528,0.814639820595155,1,0.952314780584002,0.641505585178206
9,"log_HDL","KIF24",0.943429902519832,0.535810653495377,0.733793242541183,0.952317295985477,0.585109778755231
14,"log_HDL","SERPINA3",0.95510459018437,0.992921861746546,1,0.952354174855746,0.192970576160095
9,"log_HDL","FNBP1",0.946392139315219,0.973358879933012,1,0.952564484938367,0.612393366000338
1,"log_HDL","SPATA1",0.944353861540624,0.691647604719316,0.852258336073856,0.952920539791482,0.667592199816502
6,"log_HDL","MICA",0.945881170701168,0.685394341494069,0.86486039859959,0.95295646860827,0.559744928130892
4,"log_HDL","APBB2",0.939020027998168,0.965791917922688,1,0.953170119127651,0.511036069896676
16,"log_HDL","C16orf58",0.941642427584885,0.633826586886869,0.770103099232957,0.953216286064725,0.595474168256796
6,"log_HDL","POLH",0.916099161352229,0.602838262826809,0.782024516191387,0.953297528771118,0.707972737007404
2,"log_HDL","BZW1",0.946609713631762,0.63746437969087,0.801371193882702,0.953315717025348,0.578881554994629
22,"log_HDL","EIF4ENIF1",0.92889527812571,0.408913010846093,0.584589516666121,0.953708760199697,0.745781403751487
18,"log_HDL","CHST9",0.948824994326158,0.629832765045507,0.798511181832544,0.953742741236569,0.451372177240886
18,"log_HDL","CNDP1",0.94304464686864,0.678366159512713,0.848018900721486,0.953882204834777,0.693034463658548
12,"log_HDL","MYL6",0.970535451350041,0.882004915709871,1,0.953896570599609,0.529522492127572
19,"log_HDL","ZSCAN1",0.944234574527841,0.761954757612266,0.889684297500342,0.953906130344508,0.35846320338776
10,"log_HDL","CC2D2B",0.964636928273985,0.803186525303055,1,0.953927626025776,0.456409413990401
1,"log_HDL","ADCK3",0.938162532621087,0.759712980213516,0.914216085814969,0.9541983906411,0.521891511443795
